Souche;Condition;D10;Ratio
WT;Sorbitol;50;1,382488479
WT;Sorbitol;48;1,32718894
WT;Sorbitol;47,5;1,313364055
WT;NaCl;21;0,580645161
WT;NaCl;18;0,497695853
WT;NaCl;21;0,580645161
WT;CaCl2;49;1,35483871
WT;CaCl2;59;1,631336406
WT;CaCl2;55;1,520737327
WT;KCl;32,5;0,898617512
WT;KCl;37;1,023041475
WT;KCl;30,5;0,843317972
WT;CR;31;0,857142857
WT;CR;29;0,801843318
WT;CR;33;0,912442396
WT;CW;37;1,023041475
WT;CW;37;1,023041475
WT;CW;38;1,050691244
WT;SDS;19;0,525345622
WT;SDS;14;0,387096774
WT;SDS;15;0,414746544
WT;Menadione;23;0,6359447
WT;Menadione;25;0,69124424
WT;Menadione;30;0,829493088
WT;Sorbitol;40;1,105990783
WT;Sorbitol;38;1,050691244
WT;Sorbitol;37,5;1,036866359
WT;NaCl;16,5;0,456221198
WT;NaCl;24;0,66359447
WT;NaCl;18,5;0,511520737
WT;CaCl2;72;1,99078341
WT;CaCl2;74;2,046082949
WT;CaCl2;69;1,907834101
WT;KCl;34;0,940092166
WT;KCl;33,5;0,926267281
WT;KCl;34;0,940092166
WT;CR;34;0,940092166
WT;CR;32;0,884792627
WT;CR;33,5;0,926267281
WT;CW;25;0,69124424
WT;CW;23;0,6359447
WT;CW;29;0,801843318
WT;SDS;19,5;0,539170507
WT;SDS;18;0,497695853
WT;SDS;18,5;0,511520737
WT;Menadione;18;0,497695853
WT;Menadione;22,5;0,622119816
WT;Menadione;23,5;0,649769585
WT;Caffeine;33;0,912442396
WT;Caffeine;37;1,023041475
WT;Caffeine;30;0,829493088
WT;Sorbitol;34;0,940092166
WT;Sorbitol;42;1,161290323
WT;Sorbitol;43;1,188940092
WT;NaCl;20;0,552995392
WT;NaCl;15;0,414746544
WT;NaCl;22;0,608294931
WT;CaCl2;73;2,01843318
WT;CaCl2;72;1,99078341
WT;CaCl2;69;1,907834101
WT;KCl;36;0,995391705
WT;KCl;34,5;0,953917051
WT;KCl;34,5;0,953917051
WT;CR;30;0,829493088
WT;CR;34;0,940092166
WT;CR;40;1,105990783
WT;CW;22;0,608294931
WT;CW;21;0,580645161
WT;CW;31;0,857142857
WT;SDS;23;0,6359447
WT;SDS;18,5;0,511520737
WT;SDS;16;0,442396313
WT;Menadione;22,5;0,622119816
WT;Menadione;24;0,66359447
WT;Menadione;20;0,552995392
WT;Caffeine;19;0,525345622
WT;Caffeine;31;0,857142857
WT;Caffeine;NA;#VALEUR!
Gcn5W;Sorbitol;30;0,9
Gcn5W;Sorbitol;31;0,93
Gcn5W;Sorbitol;NA;#VALEUR!
Gcn5W;NaCl;17,5;0,525
Gcn5W;NaCl;18;0,54
Gcn5W;NaCl;NA;#VALEUR!
Gcn5W;CaCl2;37;1,11
Gcn5W;CaCl2;37;1,11
Gcn5W;CaCl2;NA;#VALEUR!
Gcn5W;KCl;19;0,57
Gcn5W;KCl;18;0,54
Gcn5W;KCl;NA;#VALEUR!
Gcn5W;CR;27;0,81
Gcn5W;CR;29,5;0,885
Gcn5W;CR;NA;#VALEUR!
Gcn5W;CW;34,5;1,035
Gcn5W;CW;35;1,05
Gcn5W;CW;NA;#VALEUR!
Gcn5W;SDS;11,5;0,345
Gcn5W;SDS;10;0,3
Gcn5W;SDS;NA;#VALEUR!
Gcn5W;Menadione;0;0
Gcn5W;Menadione;0;0
Gcn5W;Menadione;NA;#VALEUR!
Gcn5W;Sorbitol;28;0,84
Gcn5W;Sorbitol;26,5;0,795
Gcn5W;Sorbitol;NA;#VALEUR!
Gcn5W;NaCl;19;0,57
Gcn5W;NaCl;18;0,54
Gcn5W;NaCl;NA;#VALEUR!
Gcn5W;CaCl2;38,5;1,155
Gcn5W;CaCl2;36;1,08
Gcn5W;CaCl2;NA;#VALEUR!
Gcn5W;KCl;19,5;0,585
Gcn5W;KCl;19;0,57
Gcn5W;KCl;NA;#VALEUR!
Gcn5W;CR;34;1,02
Gcn5W;CR;32;0,96
Gcn5W;CR;NA;#VALEUR!
