Var;Rep;A43.1;GV.1;GVc1.1;A43.3;GB.3;GBc.3
Impala;1;92983;NA;NA;483;170;8832
Impala;1;38284;148;56046;9922;0;5507
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Counter;1;100724;0;301;30657;0;1192
Counter;1;NA;NA;NA;110503;44;1385
Counter;1;NA;NA;NA;31501;0;1038
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Counter;1;NA;NA;NA;NA;NA;NA
Expect;1;65243;0;250;81008;0;35574
Expect;1;29038;0;20279;NA;NA;NA
Expect;1;82858;0;72996;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Expect;1;NA;NA;NA;NA;NA;NA
Rivera;1;1667;335;72530;86896;0;2556
Rivera;1;NA;NA;5861;NA;NA;NA
Rivera;1;17508;NA;14811;NA;NA;NA
Rivera;1;3507;0;1305;NA;NA;NA
Rivera;1;5891;0;22015;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Rivera;1;NA;NA;NA;NA;NA;NA
Impala;2;79321;0;39767;1051;51;9741
Impala;2;64646;1171;NA;69145;58;23398
Impala;2;1757;0;1273;NA;NA;32774
Impala;2;NA;NA;NA;44872;58;NA
Impala;2;147;876;65684;40459;0;38435
Impala;2;10971;117;1704;4892;336;21319
Impala;2;1092;1309;12079;86259;186;13490
Impala;2;NA;NA;NA;83345;0;21932
Counter;2;446;0;0;50886;0;12596
Counter;2;52959;0;868;51189;0;6448
Counter;2;11552;218;2120;31719;0;7769
Counter;2;27412;0;26509;1478;0;7648
Counter;2;NA;NA;NA;83548;0;2387
Counter;2;NA;NA;NA;94015;0;21166
Counter;2;NA;NA;NA;29130;0;1165
Counter;2;NA;NA;NA;23305;132;20217
Expect;2;68178;0;45832;6624;271;8527
Expect;2;14499;220;264;4949;0;124
Expect;2;27395;0;56;4203;0;26739
Expect;2;433;417;496;19917;NA;NA
Expect;2;7868;0;2486;60942;0;15361
Expect;2;NA;NA;NA;9757;0;15620
Expect;2;NA;NA;NA;13905;0;16683
Expect;2;NA;NA;NA;84221;0;16253
Rivera;2;169242;0;14417;67492;0;6505
Rivera;2;102770;0;1272;6252;0;1483
Rivera;2;NA;NA;NA;1092;0;1476
Rivera;2;NA;NA;NA;NA;NA;10376
Rivera;2;NA;NA;NA;23859;395;10445
Rivera;2;NA;NA;NA;2960;338;16813
Rivera;2;NA;NA;NA;111492;3309;5068
Rivera;2;NA;NA;NA;13593;0;3394
Impala;3;107824;9169;96862;29256;974;24523
Impala;3;109291;14692;70151;146289;0;49387
Impala;3;192762;6236;4949;80615;0;32059
Impala;3;NA;NA;NA;20268;0;3834
Impala;3;NA;NA;NA;102563;0;38318
Impala;3;NA;NA;NA;107412;0;66145
Impala;3;NA;NA;NA;NA;NA;NA
Impala;3;NA;NA;NA;NA;NA;NA
Counter;3;2687;4415;47306;64305;0;7487
Counter;3;3202;5212;58504;15904;0;7503
Counter;3;36769;0;14855;83042;0;1761
Counter;3;557002;486;864;64245;0;NA
Counter;3;NA;NA;NA;57133;0;3147
Counter;3;NA;NA;NA;168156;0;866
Counter;3;NA;NA;NA;NA;NA;NA
Counter;3;NA;NA;NA;NA;NA;NA
Expect;3;39423;3791;30644;28099;0;13278
Expect;3;88974;1514;58538;43027;0;3322
Expect;3;45379;8877;72276;119805;0;5949
Expect;3;NA;NA;NA;94156;0;51909
Expect;3;NA;NA;NA;19989;0;60441
Expect;3;NA;NA;NA;87183;0;41135
Expect;3;NA;NA;NA;NA;NA;NA
Expect;3;NA;NA;NA;NA;NA;NA
Rivera;3;43794;0;82393;60810;576;6876
Rivera;3;140646;12694;13742;93475;0;13619
Rivera;3;45808;0;105115;81939;0;630
Rivera;3;NA;NA;NA;50055;0;0
Rivera;3;NA;NA;NA;135729;0;25066
Rivera;3;NA;NA;NA;128563;0;21321
Rivera;3;NA;NA;NA;NA;NA;NA
Rivera;3;NA;NA;NA;NA;NA;NA
Impala;4;29116;5477;4720;69291;0;28270
Impala;4;11229;2522;410;21340;0;8535
Impala;4;3636;0;2190;6486;0;10650
Impala;4;3304;5772;3072;46546;5008;20419
Impala;4;NA;NA;NA;32622;0;3180
Impala;4;NA;NA;NA;703;0;5639
Impala;4;NA;NA;NA;NA;NA;NA
Impala;4;NA;NA;NA;NA;NA;NA
Counter;4;2620;164;25369;37383;0;9378
Counter;4;NA;NA;NA;378;727;16848
Counter;4;NA;NA;NA;49771;0;1192
Counter;4;NA;NA;NA;9434;0;20141
Counter;4;NA;NA;NA;811;0;0
Counter;4;NA;NA;NA;32431;0;29428
Counter;4;NA;NA;NA;NA;NA;NA
Counter;4;NA;NA;NA;NA;NA;NA
Expect;4;24735;3547;546;50836;1881;24345
Expect;4;24919;4901;3021;48687;49;12104
Expect;4;18645;2250;11990;11816;154;13013
Expect;4;75945;816;1143;12749;2561;19842
Expect;4;17524;0;1697;64738;1006;14326
Expect;4;29279;0;6354;15918;0;4582
Expect;4;48467;1892;10105;21043;0;5837
Expect;4;NA;NA;NA;NA;NA;NA
Rivera;4;32434;3507;44381;8483;595;7818
Rivera;4;24529;3872;16598;9065;0;8709
Rivera;4;NA;0;1290;79089;0;4820
Rivera;4;10871;1673;798;95662;367;2523
Rivera;4;NA;NA;NA;277;0;16221
Rivera;4;NA;NA;NA;20948;0;13357
Rivera;4;NA;NA;NA;NA;NA;NA
Rivera;4;NA;NA;NA;NA;NA;NA
Impala;1;3066;107;33642;NA;NA;NA
Impala;1;268;2871;3120;NA;NA;NA
Impala;1;61143;0;2187;NA;NA;NA
Impala;1;100485;1353;5091;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
Impala;1;NA;NA;NA;NA;NA;NA
