repetition;plant;silique;strain;state
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;0
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;1;A43;1
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;0
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;2;A43;1
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;0
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;3;A43;1
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;0
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;4;A43;1
1;1;5;A43;0
1;1;5;A43;0
1;1;5;A43;0
1;1;5;A43;0
