repetition;souche;plante;silique;GT;gc
1;A43;1;1;30;10
1;A43;1;2;17;9
1;A43;1;3;21;12
1;A43;1;4;31;13
1;A43;1;5;31;7
1;A43;2;1;33;15
1;A43;2;2;26;18
1;A43;2;3;33;20
1;A43;2;4;33;24
1;A43;2;5;30;12
1;A43;3;1;31;30
1;A43;3;2;32;23
1;A43;3;3;32;1
1;A43;3;4;24;16
1;A43;3;5;13;8
1;GG;1;1;15;0
1;GG;1;2;20;0
1;GG;1;3;20;2
1;GG;1;4;19;0
1;GG;1;5;23;0
1;GG;2;1;33;1
1;GG;2;2;6;0
1;GG;2;3;18;0
1;GG;2;4;24;0
1;GG;2;5;23;0
1;GG;3;1;33;0
1;GG;3;2;5;0
1;GG;3;3;8;0
1;GG;3;4;16;0
1;GG;3;5;10;0
1;GGc1;1;1;19;19
1;GGc1;1;2;12;12
1;GGc1;1;3;50;9
1;GGc1;1;4;23;23
1;GGc1;1;5;10;10
1;GGc1;2;1;30;7
1;GGc1;2;2;40;10
1;GGc1;2;3;18;18
1;GGc1;2;4;20;6
1;GGc1;2;5;25;8
1;GGc1;3;1;30;22
1;GGc1;3;2;37;33
1;GGc1;3;3;25;17
1;GGc1;3;4;52;10
1;GGc1;3;5;47;15
1;GGc2;1;1;13;11
1;GGc2;1;2;50;13
1;GGc2;1;3;34;14
1;GGc2;1;4;35;11
1;GGc2;1;5;46;17
1;GGc2;2;1;49;21
1;GGc2;2;2;18;18
1;GGc2;2;3;36;31
1;GGc2;2;4;36;34
1;GGc2;2;5;38;35
1;GGc2;3;1;40;34
1;GGc2;3;2;39;35
1;GGc2;3;3;22;22
1;GGc2;3;4;33;15
1;GGc2;3;5;29;29
1;GW;1;1;49;3
1;GW;1;2;35;1
1;GW;1;3;29;0
1;GW;1;4;17;0
1;GW;1;5;46;0
1;GW;2;1;13;0
1;GW;2;2;34;0
1;GW;2;3;19;0
1;GW;2;4;12;0
1;GW;2;5;12;0
1;GW;3;1;38;0
1;GW;3;2;25;0
1;GW;3;3;31;31
1;GW;3;4;26;0
1;GW;3;5;23;0
1;GWc1;1;1;38;0
1;GWc1;1;2;18;0
1;GWc1;1;3;10;0
1;GWc1;1;4;30;0
1;GWc1;1;5;30;0
1;GWc1;2;1;30;0
1;GWc1;2;2;20;0
1;GWc1;2;3;14;0
1;GWc1;2;4;19;0
1;GWc1;2;5;16;0
1;GWc1;3;1;11;0
1;GWc1;3;2;5;0
1;GWc1;3;3;20;0
1;GWc1;3;4;20;0
1;GWc1;3;5;17;0
1;GWc2;1;1;43;0
1;GWc2;1;2;38;12
1;GWc2;1;3;40;5
1;GWc2;1;4;30;0
1;GWc2;1;5;25;0
1;GWc2;2;1;38;2
1;GWc2;2;2;24;4
1;GWc2;2;3;17;0
1;GWc2;2;4;11;1
1;GWc2;2;5;18;0
1;GWc2;3;1;30;0
1;GWc2;3;2;22;0
